Place,Bib,Name,Division,Division Place,Wave,Swim,T1,Bike,T2,Run,Chip Time,Clock Time
185,67,R Roberto MARTINEZ,M 35-39,14,Wave 5,10:19,7:25,26:21,5:55,31:06,1:21:08,1:38:09
186,316,D Douglas NEU,M 55-59,17,Wave 4,21:08,2:11,28:20,1:39,27:59,1:21:19,1:34:27
187,420,V Valeria HEALY,F 45-49,3,Wave 3,18:56,1:56,32:04,1:15,27:05,1:21:20,1:29:22
188,479,W Wendy BRUNO,F 45-49,4,Wave 3,19:38,3:28,30:19,1:17,26:41,1:21:25,1:29:28
189,411,M Maria HARBER,F 50-54,1,Wave 3,22:18,2:24,27:44,1:34,27:29,1:21:31,1:29:34
190,411,E Elisabeth DEANS,F 60-64,1,Wave 3,22:18,2:24,27:44,1:34,27:29,1:21:31,1:29:34
191,343,P Patrick DIAKS,M 60-64,12,Wave 4,22:29,2:23,26:24,1:48,28:30,1:21:36,1:34:45
192,464,S Sophia HENDIZADEH,F 14-19,1,Wave 3,22:21,2:18,30:16,0:47,26:03,1:21:48,1:29:50
193,433,Z Zhaotong LI,M 35-39,15,Wave 1,20:33,3:23,26:14,1:33,30:08,1:21:52,1:21:52
194,315,D David HEHN,M 55-59,18,Wave 4,21:39,4:05,25:28,1:46,28:59,1:21:58,1:35:06
195,123,L Liam SCHRAMM,M 20-24,7,Wave 2,24:04,2:28,27:55,1:51,25:43,1:22:03,1:26:03
196,238,E Eugenia FURNEAUX,F 40-44,5,Wave 3,20:45,3:28,26:14,1:52,29:44,1:22:05,1:30:08
197,224,S Stephanie PALMERI,F 35-39,6,Wave 3,14:47,2:22,32:05,1:01,31:51,1:22:08,1:30:10
198,75,B Brian WILKINS,M 35-39,16,Wave 1,25:00,3:58,27:04,1:20,24:47,1:22:11,1:22:11
199,472,J John FOLEY,M 60-64,13,Wave 4,21:19,3:40,27:40,2:02,27:29,1:22:12,1:35:20
200,85,C Christopher GRANT,M 40-44,15,Wave 1,21:12,2:16,29:09,1:22,28:18,1:22:20,1:22:20
201,437,E Eric GOLUS,M 50-54,14,Wave 2,18:03,3:21,27:50,1:56,31:13,1:22:25,1:26:24
202,106,R Richard SMITH,M 60-64,14,Wave 4,23:07,2:25,27:34,1:50,27:32,1:22:30,1:35:38
203,329,R Russell KISSINGER,M 55-59,19,Wave 4,22:26,2:49,26:45,1:50,28:42,1:22:34,1:35:42
